Mes,Pasajeros_Totales
2025-04,105106307.48904483
2025-05,109568548.00308344
2025-06,105302926.66964696
2025-07,112940740.52681208
2025-08,111979439.46772975
2025-09,111603310.48220912
2025-10,117881892.9881183
2025-11,112146831.47698201
2025-12,120390492.34068675
2026-01,122044532.76376674
2026-02,110950281.48875801
2026-03,123291127.32112789
2026-04,122999812.03733476
2026-05,126385639.40814875
2026-06,125987318.77588245
2026-07,133098444.40069868
2026-08,131046912.25489591
2026-09,131516259.92826936
2026-10,137837070.8528776
2026-11,132529866.91802406
2026-12,142221803.99098697
2027-01,141002130.023812
2027-02,130565921.80418025
2027-03,147510580.1598354
2027-04,145278596.32146892
2027-05,148092545.97745827
2027-06,148662462.71128368
2027-07,155825175.13268068
2027-08,155472983.39075285
2027-09,155170755.25138786
2027-10,159436770.5622888
2027-11,158997390.70766503
2027-12,168028207.9161815
2028-01,165407614.61903852
2028-02,160089974.41768497
2028-03,175114117.3169522
2028-04,166538289.66759822
2028-05,178936878.6954015
2028-06,176270769.02662686
2028-07,179660595.18230212
2028-08,187339792.3191642
2028-09,182242912.76991236
2028-10,188729409.05777407
2028-11,188428461.66463402
2028-12,193603562.4823146
2029-01,200124888.4763501
2029-02,181943823.0761094
2029-03,205598085.86561403
2029-04,197667296.43302602
2029-05,212309085.53898773
2029-06,206543247.76530617
2029-07,213902882.85012522
2029-08,221998562.4858865
2029-09,211084368.81013212
2029-10,226917917.69971707
2029-11,223601569.69448957
2029-12,227863764.8263412
2030-01,237741447.96392816
2030-02,215310143.7416385
2030-03,234318949.9766774
